Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
"MH Laarabi, R Bruno",A generic software framework for carsharing modelling based on a large-scale multi-agent traffic simulation platform,2016,https://link.springer.com/chapter/10.1007/978-3-319-51957-9_6,10.1007/978-3-319-51957-9_6,1. NO,1. NO,1. NO,1. NO
"T Wang, CN Thai",A genetic algorithm based tool for analysis and modeling of multi-spectral data,2003,https://elibrary.asabe.org/abstract.asp?aid=14066,,1. NO,1. NO,1. NO,1. NO
"Y Ikkai, T Maruta, N Komoda, J Goossenaerts",A Graph-Base Supply Chain Simulation Language and Tool with Multi-Functional Modeling,2000,https://doi.org/10.1016/S1474-6670(17)39529-0,10.1016/S1474-6670(17)39529-0,3. YES,2. MAYBE,3. YES,3. YES
"O Gould, A Simeone, J Colwill, R Willey, S Rahimifard",A material flow modelling tool for resource efficient production planning in multi-product manufacturing systems,2016,https://www.sciencedirect.com/science/article/pii/S2212827116000111,,1. NO,1. NO,1. NO,1. NO
"R Yan, F Peng, B Li",A method of general stiffness modeling for multi-axis machine tool,2008,https://link.springer.com/chapter/10.1007/978-3-540-88518-4_108,10.1007/978-3-540-88518-4_108,1. NO,1. NO,1. NO,1. NO
"H Xu, X Zhang",A Methodology for Role-Based Modeling of Open Multi-Agent Software Systems.,2005,http://www.academia.edu/download/5656509/10.1.1.78.8724.pdf,,1. NO,1. NO,1. NO,1. NO
H Xu,A Model-based approach for development of multi-agent software systems,2003,http://www.cis.umassd.edu/~hxu/Papers/UIC/PhD/Thesis.pdf,,1. NO,1. NO,1. NO,1. NO
"RH Hall, TA Philpot, N Hubing, RE Flori, V Yellamraju",A Model-Driven Multi-Year Assessment of a Software Development Project for Engineering Instruction,2004,https://peer.asee.org/a-model-driven-multiyear-assessment-of-a-software-development-project-for-engineering-instruction.pdf,,1. NO,1. NO,1. NO,1. NO
"T Novotny, I Lindt, W Broll",A Multi Modal Table-Top 3D Modeling Tool in Augmented Environments.,2006,https://www.researchgate.net/profile/Wolfgang_Broll/publication/220901826_A_Multi_Modal_Table-Top_3D_Modeling_Tool_in_Augmented_Environments/links/0c9605360f71a1c45c000000/A-Multi-Modal-Table-Top-3D-Modeling-Tool-in-Augmented-Environments.pdf,,1. NO,2. MAYBE,1. NO,1. NO
"I Alloui, S Latrous, F Oquendo","A multi-agent approach for modelling, enacting and evolving distributed cooperative software processes",1996,https://doi.org/10.1007/BFb0017747,10.1007/BFb0017747,1. NO,1. NO,1. NO,1. NO
"S Andreßen, J Bremer, B Rapp, M Stadl, et al.",A multi-agent modeling tool for interaction and correlation in demand-side market behaviour,NA,https://www.academia.edu/download/40145742/A_multi-agent_modeling_tool_for_interact20151118-28520-8ja45.pdf,,1. NO,1. NO,1. NO,1. NO
"R Li, Q Xiao, Y Liu, J Hu, L Li, G Li, H L, et al.",A multi-body dynamics based numerical modelling tool for solving aquatic biomimetic problems,2018,https://iopscience.iop.org/article/10.1088/1748-3190/aacd60/meta,,1. NO,1. NO,1. NO,1. NO
"H Okamura, Y Etani, T Dohi",A multi-factor software reliability model based on logistic regression,2010,https://ieeexplore.ieee.org/abstract/document/5635114/,,1. NO,1. NO,1. NO,1. NO
"V Kalivarapu, E Winer",A multi-fidelity software framework for interactive modeling of advective and diffusive contaminant transport in groundwater,2008,https://doi.org/10.1016/j.envsoft.2008.04.006,10.1016/j.envsoft.2008.04.006,3. YES,2. MAYBE,3. YES,3. YES
"M Maiza, A Bengoechea, P Grau, W De Keys, et al.",A multi-layer modelling software framework supporting the design of automatic control solutions in WWTPs,2011,https://hal.inrae.fr/hal-02746895,,2. MAYBE,2. MAYBE,2. MAYBE,1. NO
"C Atkinson, R Gerbig, C Tunjic",A multi-level modeling environment for sum-based software engineering,2013,https://dl.acm.org/doi/abs/10.1145/2489861.2489868,10.1145/2489861.2489868,1. NO,1. NO,1. NO,1. NO
R Vella,A multi-methodology modelling framework for software development projects,2019,https://www.um.edu.mt/library/oar/handle/123456789/47902,,1. NO,1. NO,1. NO,1. NO
"L Gurreria, G Battagliab, A Tamburinia, A Cipollin, et al.",A multi-physical modelling tool for reverse electrodialysis,2015,http://iris.unipa.it/retrieve/handle/10447/242647/454330/pre_print_multiphysical.pdf,,1. NO,1. NO,1. NO,1. NO
"A Marino, M Peltomäki, J Lim, A Aerts",A multi-physics computational tool based on CFD and GEM chemical equilibrium solver for modeling coolant chemistry in nuclear reactors,2020,https://www.sciencedirect.com/science/article/pii/S0149197019302987,,1. NO,1. NO,1. NO,1. NO
"M Zhu, H Pham",A multi-release software reliability modeling for open source software incorporating dependent fault detection process,2018,https://link.springer.com/article/10.1007/s10479-017-2556-6,10.1007/s10479-017-2556-6,1. NO,1. NO,1. NO,1. NO
"A Gassara, IB Rodriguez, M Jmaiel",A multi-scale modeling approach for software architecture deployment,2015,https://dl.acm.org/doi/abs/10.1145/2695664.2695721,10.1145/2695664.2695721,1. NO,1. NO,1. NO,1. NO
"PS Paul, AS Varadarajan",A multi-sensor fusion model based on artificial neural network to predict tool wear during hard turning,2012,https://journals.sagepub.com/doi/abs/10.1177/0954405411432381,10.1177/0954405411432381,1. NO,1. NO,1. NO,1. NO
"W Hesse, J Noack",A multi-variant approach to software process modelling,1999,https://link.springer.com/chapter/10.1007/3-540-48738-7_16,10.1007/3-540-48738-7_16,1. NO,1. NO,1. NO,1. NO
"D Zhong, N Wu, Q Wang, R Sun",A multi-view extended software control structure modeling and safety analysis method,2015,https://ieeexplore.ieee.org/abstract/document/7380016/,,1. NO,1. NO,1. NO,1. NO
"A Lajmi, M Ziane, T Ziadi, S Cauvin",A multi-view model-driven approach for packaging software components,2010,https://dl.acm.org/doi/abs/10.1145/1774088.1774565,10.1145/1774088.1774565,3. YES,3. YES,3. YES,3. YES
GE Ji,A Multi-View Software Process Model Based on Object Petri Nets,2008,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.603.291,,1. NO,1. NO,1. NO,1. NO
"MA Seyyedi, F Shams, M Teshnehlab","A New Method F, for Measuring Software Processes within Software Capability Maturity Model Based on the Fuzzy Multi-Agent Measurements.",2005,http://www.academia.edu/download/35951979/042-seyyedi.pdf,,1. NO,1. NO,1. NO,1. NO
"D Delen, DB Pratt, M Kamath","A new paradigm for manufacturing enterprise modeling: reusable, multi-tool modeling",1996,https://dl.acm.org/doi/abs/10.1145/256562.256880,10.1145/256562.256880,1. NO,1. NO,1. NO,1. NO
"Z Zhai, ER Fonseca, A Azad, B Cox",A new tool for multi-cluster and multi-well hydraulic fracture modeling,2015,https://www.onepetro.org/conference-paper/SPE-173367-MS,,1. NO,1. NO,1. NO,1. NO
"J Wen, AH Cross, A Sukstansk, et al.",A Non-Invasive MRI Tool to Detect and Distinguish Myelin and Axonal Injury Using Statistical Modeling of Multi-Gradient-Echo Signal,2018,https://actrims.confex.com/actrims/2018/mediafile/Manuscript/Paper3031/ACTRIMS2018_JW.pdf,,1. NO,1. NO,1. NO,1. NO
"Y Rasheed, F Azam, MW Anwar",A novel framework and tool for multi-purpose modeling of physical infrastructures,2020,https://dl.acm.org/doi/abs/10.1145/3408066.3408076,10.1145/3408066.3408076,2. MAYBE,2. MAYBE,2. MAYBE,3. YES
"P Dosset, JC Hus, D Marion, M Blackledge",A novel interactive tool for rigid-body modeling of multi-domain macromolecules using residual dipolar couplings,2001,https://link.springer.com/article/10.1023/A:1011206132740,10.1023/A:1011206132740,1. NO,1. NO,1. NO,1. NO
"E Undeman, E Gustafsson, BG Gustafsson",A novel modeling tool with multi-stressor functionality for organic contaminant transport and fate in the Baltic Sea,2014,https://www.sciencedirect.com/science/article/pii/S004896971401095X,,1. NO,1. NO,1. NO,1. NO
L Yao,A Novel Multi-object Trade-Off Mechanism Model Based on Process Management in Software Project,2007,https://ieeexplore.ieee.org/abstract/document/4344755/,,1. NO,1. NO,1. NO,1. NO
"J Pan, Y Cai, L Wang, A Maehara, G Mintz, D Tang, Z Li",A Prediction Tool for Plaque Progression Based on Patient-specific Multi-Physical Modeling,2020,https://www.biorxiv.org/content/10.1101/2020.09.17.301218v1.abstract,,1. NO,1. NO,1. NO,1. NO
"J Kantelhardt, M Kapfer, N Roeder",A regional multi-agent model as a tool for modelling small structured agricultural land-use,2005,https://ageconsearch.umn.edu/record/234610/,,1. NO,1. NO,1. NO,1. NO
"S Alonso‐Quesada, M De la S, et al.",A Semiempirical Reduced‐Order Identification Modeling Tool for Partially Unknown Discrete‐Time Plants by using a Multi‐Estimation Scheme,2007,https://www.tandfonline.com/doi/abs/10.1080/10739140701436587,,1. NO,1. NO,1. NO,1. NO
EIGA Aggidis,A sequential multi-level generic decision support modelling tool for the development of energy projects,2010,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.551648,,1. NO,1. NO,1. NO,1. NO
"Y Han, S Zhiqi, M Chunyan, W Ji, et al.",A service based multi-agent system design tool for modelling integrated manufacturing and service systems,2007,https://doi.org/10.1109/EFTA.2007.4416765,10.1109/EFTA.2007.4416765,3. YES,2. MAYBE,3. YES,3. YES
"R Govindu, RB Chinnam",A software agent-component based framework for multi-agent supply chain modelling and simulation,2010,https://www.tandfonline.com/doi/abs/10.1080/02286203.2010.11442569,,1. NO,1. NO,1. NO,1. NO
"J De Lara, H Vangheluwe, G Vansteenkiste",A Software Architecture for Multi-Paradigm Modelling,2002,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.184.5672,,3. YES,3. YES,3. YES,3. YES
"G Wang, H Zhang",A Software Based on Multi-Signal Flow Graph Model for PHM-Oriented Design for Testability,2018,https://ieeexplore.ieee.org/abstract/document/8663830/,,1. NO,1. NO,1. NO,1. NO
"J Cai, T Chen, L Zhu",A structure modeling method for multi-task embedded software design,2004,https://link.springer.com/chapter/10.1007/11535409_84,10.1007/11535409_84,1. NO,1. NO,1. NO,1. NO
"Y Duan, F Zhang, L Tian, Y Guan, J Hu",A through process modeling using multi-assistant software applied to radial fatigue life predication of a 356-T6 wheels,2020,https://www.researchsquare.com/article/rs-34069/latest.pdf,,1. NO,1. NO,1. NO,1. NO
"I Khlif, MH Kacem, K Drira, AH Kacem",A Tool for Multi-scale Modeling of Software Architectures: Application to the Smart Home for Telemonitoring Elderly People at Home,2020,https://link.springer.com/chapter/10.1007/978-3-030-49815-3_18,10.1007/978-3-030-49815-3_18,1. NO,2. MAYBE,1. NO,1. NO
"DP Nickerson, JR Terkildsen, KL Hamilt, et al.",A tool for multi-scale modelling of the renal nephron,2011,https://royalsocietypublishing.org/doi/abs/10.1098/rsfs.2010.0032,,1. NO,1. NO,1. NO,1. NO
WAT MARINHO,A Web GUI for a multi-view component-based modeling CASE tool,2009,https://repositorio.ufpe.br/handle/123456789/2332,,1. NO,1. NO,1. NO,1. NO
"Z Li, H Liu, JA Lu, B Li",A Weighted Multi-Local-World Network Evolving Model and Its Application in Software Network Modeling,2018,https://www.hindawi.com/journals/mpe/2018/2048525/abs/,,1. NO,1. NO,1. NO,1. NO
RH Bordini,"Agent and multi-agent software engineering: modelling, programming, and verification",2011,https://link.springer.com/chapter/10.1007/978-3-642-29113-5_15,10.1007/978-3-642-29113-5_15,1. NO,1. NO,1. NO,1. NO
RH Bordini,"Agent and Multi-Agent Software Engineering: Modelling, Programming, and Verification-Extended Abstract for a Course at DALT Spring School",2012,http://repositorio.pucrs.br/dspace/bitstream/10923/14031/2/Agent_and_Multi_Agent_Software_Engineering_Modelling_Programming_and_Verification_Extended_Abstract_for_a_Course_at.pdf,,1. NO,1. NO,1. NO,1. NO
"AM Pashayev, RN Nabiyev, VZ Sultan, et al.",Air navigation service and modeling in multi-dimensional software environment,2016,https://elibrary.ru/item.asp?id=27168957,,1. NO,1. NO,1. NO,1. NO
"S Das, D Aggrawal, A Anand",An alternative approach for reliability growth modeling of a multi-upgraded software system,2019,https://books.google.be/books?hl=nl&lr=&id=YU-fDwAAQBAJ&oi=fnd&pg=PA93&dq=(%22modeling%22+OR+%22modelling%22+OR+%22model+based%22+OR+%22model+driven%22)+AND+(%22multi*%22+OR+%22blended%22)+AND+(%22notation*%22+OR+%22syntax*%22+OR+%22editor%22+OR+%22tool%22+OR+%22software%22)&ots=-MwRWnXkOX&sig=bkD01mgvG1OU2X_GYEtfbSycN4k,,1. NO,1. NO,1. NO,1. NO
"Z Zhang, Z Liu, Q Cheng, Y Qi, L Cai",An approach of comprehensive error modeling and accuracy allocation for the improvement of reliability and optimization of cost of a multi-axis NC machine tool,2017,https://link.springer.com/content/pdf/10.1007/s00170-016-8981-x.pdf,,1. NO,1. NO,1. NO,1. NO
"Z Gu, S Wang, S Koda, et al.",An end-to-end tool chain for multi-view modeling and analysis of avionics mission computing software,2003,https://ieeexplore.ieee.org/abstract/document/1253256/,,1. NO,1. NO,1. NO,1. NO
P Yin,An Integrated and Dynamic Multi-Object Trade-off Mechanism Model Based on Process Management in Software Project,2006,https://ieeexplore.ieee.org/abstract/document/4028045/,,1. NO,1. NO,1. NO,1. NO
"W Xiaopeng, H Tao, F T, et al.",An integration framework for multi-paradigm software process modeling,1997,https://ieeexplore.ieee.org/abstract/document/669381/,,1. NO,1. NO,1. NO,1. NO
JB Lee,An interactive multi-criteria decision modeling tool using the Analytic Hierarchy Process methodology,2000,https://open.library.ubc.ca/collections/ubctheses/831/items/1.0099544,,1. NO,1. NO,1. NO,1. NO
"M El Hachemi, Y Koutsawa, H Nasser, G Giun, et al.",An intuitive computational multi-scale methodology and tool for the dynamic modelling of viscoelastic composites and structures,2016,https://www.sciencedirect.com/science/article/pii/S0263822316300526,,3. YES,1. NO,2. MAYBE,1. NO
"W Xie, Y Cai, L Cheng",Analysis on aerospace software health metrics based on multi-factor reliability growth model,2017,http://cmnt.lv/upload-files/ns_91brt095%20CMNT1902-113%20DEF-7%20CMNT-113-AG-ed-VG.PDF,,1. NO,1. NO,1. NO,1. NO
JC Cline,Application of a Multi-Modeling Framework to Linking Ecosystem Pattern and Process Across Scales: Implementation of a Decision Support Tool for Adaptive …,2006,https://conference.ifas.ufl.edu/geer/past/geer2008/Presentation_PDFs/Monday/ATLSS/1030%20J%20Cline.pdf,,1. NO,1. NO,1. NO,1. NO
HU Jun,Application of collada model translation based on multi-software,2011,http://en.cnki.com.cn/Article_en/CJFDTotal-CGCZ201101034.htm,,1. NO,1. NO,1. NO,1. NO
"BJ Mahoney, JR Smith","Appliqué: A Computationally Efficient Modeling Tool For Multi-Layer Printed Inductors, For Near Field Wireless Power Transfer Applications",2020,https://doi.org/10.23919/EuCAP48036.2020.9135557,10.23919/EuCAP48036.2020.9135557,3. YES,2. MAYBE,3. YES,3. YES
"MA Audette, D Rivière, C Law, L Iban, et al.",Approach-specific multi-grid anatomical modeling for neurosurgery simulation with public-domain and open-source software,2011,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7964/79642J/Approach-specific-multi-grid-anatomical-modeling-for-neurosurgery-simulation-with/10.1117/12.877883.short,,1. NO,1. NO,1. NO,1. NO
"A Dumitru, I Preda, G Mogan",Aspects Concerning Modeling and Simulation of a Car Suspension with Multi-Body Dynamics and Finite Element Analysis Software Packages,2016,http://193.254.231.99:8080/jspui/handle/123456789/2057,,1. NO,1. NO,1. NO,1. NO
"P Hu, K Ni, L Xue, K Ni, N Dittakavi, H Zh, et al.",ASTE-P: Integrated and Multi-fidelity Modeling and Simulation Tool for Aero-structure and Propulsion Dynamics of Aerospace Vehicles,2011,https://arc.aiaa.org/doi/pdf/10.2514/6.2011-2076,,1. NO,1. NO,1. NO,1. NO
"J de Lara, H Vangheluwe",ATOM³: A Tool for Multi-formalism Modelling and Meta-modelling,2002,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.24.2450,,1. NO,1. NO,1. NO,1. NO
"A Baraldi, D Tiede","AutoCloud+, a “Universal” Physical and Statistical Model-Based 2D Spatial Topology-Preserving Software for Cloud/Cloud–Shadow Detection in Multi-Sensor Single-Date Earth Observation Multi-Spectral Imagery—Part 1: Systematic ESA EO Level 2 Product Generation at the Ground Segment as Broad Context",2018,https://www.mdpi.com/2220-9964/7/12/457,,1. NO,1. NO,1. NO,1. NO
"L Krawczyk, C Wolff, D Fruhner",Automated distribution of software to multi-core hardware in model based embedded systems development,2015,https://link.springer.com/chapter/10.1007/978-3-319-24770-0_28,10.1007/978-3-319-24770-0_28,1. NO,1. NO,1. NO,1. NO
GM McGrath,Behavioural issues in software engineering process modelling: a multi-paradigm approach,1998,https://ieeexplore.ieee.org/abstract/document/654763/,,1. NO,1. NO,1. NO,1. NO
"J Torlapati, TP Clement",Benchmarking a Visual-Basic based multi-component one-dimensional reactive transport modeling tool,2013,https://www.sciencedirect.com/science/article/pii/S0098300412002889,,1. NO,1. NO,1. NO,1. NO
N Chong,Beyond Evidence-Based Decision Support: Exploring the Multi-Dimensional Functionality of Environmental Modelling Tools. Comparative Analysis of Tool,2019,https://www.theses.fr/2019PESC1005,,1. NO,1. NO,1. NO,1. NO
S Lepadatu,Boris Computational Spintronics--High Performance Multi-Mesh Magnetic and Spin Transport Modelling Software,2020,https://arxiv.org/abs/2008.02478,,1. NO,1. NO,1. NO,1. NO
"D Bork, EJ Sinz",Bridging the gap from a multi-view modelling method to the design of a multi-view modelling tool,2013,https://doi.org/10.18417/emisa.8.2.2,10.18417/emisa.8.2.2,3. YES,3. YES,3. YES,3. YES
"E Santilli, V Chalamalla, A Scotti, S Sarkar",Capturing remote mixing due to internal tides using multi-scale modeling tool: SOMAR-LES,2016,https://ui.adsabs.harvard.edu/abs/2016APS..DFDG13009S/abstract,,1. NO,2. MAYBE,1. NO,1. NO
D Gillespie,"Classical density functional theory of fluids as a multi-scale modeling tool for charged fluids: Electrical double layers, biological ion channels, dielectric interfaces",2010,https://ui.adsabs.harvard.edu/abs/2010APS..MARA18003G/abstract,,1. NO,1. NO,1. NO,1. NO
"GI Winata, A Madotto, CS Wu, P Fung",Code-switching language modeling using syntax-aware multi-task learning,2018,https://arxiv.org/abs/1805.12070,,1. NO,1. NO,1. NO,1. NO
"N Nova, T Wehrle, J Goslin, Y Bourqu, et al.",Collaboration in a multi-user game: impacts of an awareness tool on mutual modeling,2007,https://link.springer.com/article/10.1007/s11042-006-0065-8,10.1007/s11042-006-0065-8,1. NO,1. NO,1. NO,1. NO
"JD Roach, VC Tidwell, EH Richards",Collaborative Modeling: A powerful tool for support of multi-stakeholder natural resource management.,2011,https://www.osti.gov/servlets/purl/1661573,,1. NO,1. NO,1. NO,1. NO
"PE Dossou, P Pawlewski, P Mitchell",Combining simulation and multi-agent systems for solving enterprise process flows constraints in an enterprise modeling aided tool,2014,https://link.springer.com/chapter/10.1007/978-3-319-07767-3_15,10.1007/978-3-319-07767-3_15,1. NO,1. NO,1. NO,1. NO
"R Kumar, AK Sahoo, PC Mishra, RK Das","Comparative study on machinability improvement in hard turning using coated and uncoated carbide inserts: part II modeling, multi-response optimization, tool life, and economic aspects",2018,https://link.springer.com/article/10.1007/s40436-018-0214-0,10.1007/s40436-018-0214-0,1. NO,1. NO,1. NO,1. NO
"AI Kaz'min, AA Menn, NV Ponomar, et al.",Computer-aidedjsemi-real modeling in multi-computer systems (software aspects),1982,http://www.mathnet.ru/eng/at5579,,1. NO,1. NO,1. NO,1. NO
"V Dimitrieski, M Čeliković, S Aleksić, S Rist, et al.",Concepts and evaluation of the extended entity-relationship approach to database design in a multi-paradigm information system modeling tool,2015,https://www.sciencedirect.com/science/article/pii/S1477842415000615,,1. NO,2. MAYBE,1. NO,1. NO
"D Kung, K Kavi",Conceptual modeling and software design of multi-agent systems,2007,https://link.springer.com/chapter/10.1007/978-3-540-72677-7_10,10.1007/978-3-540-72677-7_10,1. NO,1. NO,1. NO,1. NO
"Y Van Tendeloo, S Van Mierlo, B Meye, et al.",Concrete syntax: A multi-paradigm modelling approach,2017,https://dl.acm.org/doi/abs/10.1145/3136014.3136017,10.1145/3136014.3136017,2. MAYBE,2. MAYBE,2. MAYBE,3. YES
"CB Paris, J Helgers, E Van Sebil, et al.",Connectivity Modeling System: A probabilistic modeling tool for the multi-scale tracking of biotic and abiotic variability in the ocean,2013,https://www.sciencedirect.com/science/article/pii/S136481521200312X,,1. NO,1. NO,1. NO,1. NO
A Cassidy,"Constraint schemata, multi-axis movement modeling, and unified, multi-parametric notation for strings and voices",2013,http://eprints.hud.ac.uk/id/eprint/17361/1/cassidy.pdf,,1. NO,1. NO,1. NO,1. NO
"D Jouglet, P Renaut, S Piechowi, et al.",Cooperative diagnosis support tool including a multi-point of view modelling,1998,https://www.sciencedirect.com/science/article/pii/S1474667017400814,,1. NO,1. NO,1. NO,1. NO
"F Gioulekas, P Poplavko, P Katsar, et al.",Correction to: Correct-by-construction model-based design of reactive streaming software for multi-core embedded systems.,2020,https://www.researchgate.net/profile/Panagiotis_Katsaros/publication/334436014_Correction_to_Correct-by-construction_model-based_design_of_reactive_streaming_software_for_multi-core_embedded_systems/links/5d5dff57299bf1b97cfcfe76/Correction-to-Correct-by-construction-model-based-design-of-reactive-streaming-software-for-multi-core-embedded-systems.pdf,,1. NO,1. NO,1. NO,1. NO
"A Kundu, S Raghunathan, R Curran",Cost Modelling as a Holistic Tool in the Multi-disciplinary Systems Architecture of Aircraft Design: The Next Frontier,2003,https://arc.aiaa.org/doi/pdf/10.2514/6.2003-1333,,1. NO,1. NO,1. NO,1. NO
"J Massmann, T Nagel, L Bilke, N Böttch, et al.","Coupled Multi-physical Simulations for the Assessment of Nuclear Waste Repository Concepts: Modeling, Software Development and Simulation",2016,https://ui.adsabs.harvard.edu/abs/2016AGUFMMR41C2710M/abstract,,1. NO,1. NO,1. NO,1. NO
"B Bonté, É Penot, JF Tourrand, MC France",Coupling the farming system modelling tool 'olympe'with the multi-agentsystem software system 'cormas' to understand the use of resources in complex …,2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.472.8833&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"Y Hsieh, M Shi, G Yang",CovaModeler: A multi-user tool for modelling cooperative processes,2003,https://www.inderscienceonline.com/doi/abs/10.1504/IJCAT.2003.000312,10.1504/IJCAT.2003.000312,1. NO,1. NO,1. NO,1. NO
R Ghulghazaryan,Creating An Accurate FEOL CMP Model Modeling of chip production steps can be a powerful tool to study multi-layer stacking effects and detect hotspots …,2010,https://semiengineering.com/creating-an-accurate-feol-cmp-model/,,3. YES,1. NO,2. MAYBE,1. NO
"S Chinchanikar, SK Choudhury",Cutting force modeling considering tool wear effect during turning of hardened AISI 4340 alloy steel using multi-layer TiCN/Al2O3/TiN-coated carbide tools,2016,https://link.springer.com/content/pdf/10.1007/s00170-015-7662-5.pdf,,1. NO,1. NO,1. NO,1. NO
"A Bandila, T Khotb, A Guhaa, A Tewaria",Cutting Force Modeling of Multi-axis Milling Processes for Variable Tool Workpiece Encounter Geometries,2017,http://www.copen.ac.in/proceedings/copen10/copen/211.pdf,,1. NO,1. NO,1. NO,1. NO
NF Schneidewind,Data Collection Demonstration and Software Reliability Modeling for a Multi-Functional Distributed System,1997,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.622.9987&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"AV Zatonskiy, VN Ufimtceva",Design of object oriented software to multi-agent modeling of enterprise processes,2018,http://www.mathnet.ru/eng/vagtu555,,1. NO,1. NO,1. NO,1. NO
"S Mittal, R Wang, J Vetter",Destiny: A comprehensive tool with 3d and multi-level cell memory modeling capability,2017,https://www.mdpi.com/2079-9268/7/3/23,,1. NO,1. NO,1. NO,1. NO
"HW Jung, JH Kim, K Moon",Developing a Contents Modeling Tool for Contents Adaptation in Multi-Platform Environments,2004,https://www.koreascience.or.kr/article/CFKO200421553662340.page,,1. NO,1. NO,1. NO,1. NO
WB Lowrie,Development and application of a multi-block high order finite element modeling code as an engineering design tool,2011,http://search.proquest.com/openview/7a4271e7962f270a3cd5c5e36d8f7227/1?pq-origsite=gscholar&cbl=18750&diss=y,,1. NO,1. NO,1. NO,1. NO
M Kopernik,Development and Application of Multi‐Scale Numerical Tool to Modeling Pneumatic Ventricular Assist Devices with Increased Athrombogenicity,2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201400157,,2. MAYBE,1. NO,1. NO,1. NO
